SYSTEM_NO,SYSTEM_NAM,HQNAME,ADDRESS,CITY,STATE,ZIP,ZIP_EXT,POP_SERV,CONNECTION,AREA_SERVE
0190009,CITY OF PLEASANTON,PLEASANTON RW,,PLEASANTON,CA,94566,,0,1,
0201000,BLOOMFIELD CAMPGROUND #1 & #2,STANISLAUS NATIONAL FOREST,19777 GREENLEY RD,SONORA,,95370,,0,0,
0201001,HIGHLAND LAKES CAMPGROUND,STANISLAUS NATIONAL FOREST,19777 GREENLEY RD,SONORA,,95370,,0,0,
0201002,GROVER HOT SPRINGS STATE PARK,,,,,,,0,0,
0202251,ALPINE SR CENTER,,,,,,,0,0,
0202501,DIAMOND VALLEY SCHOOL,ALPINE UNIFIED SCHOOL DISTRICT,43 HAWKSIDE DRIVE,MARKLEEVILLE,CA,96120,,100,3,
0202502,WOODFORDS STATION,,290 PONY EXPRESS ROAD,WOODFORDS,CA,96120,,30,2,
0202503,WOODFORDS MUTUAL WATER COMPANY,WOODFORDS MUTUAL WATER COMPANY,PO BOX 191,MARKLEEVILLE,CA,96120,,50,16,
0202504,MARKLEEVILLE WATER CO.,MARKLEEVILLE WATER CO.,PO BOX 131,MARKLEEVILLE,CA,96120,,25,167,
0202505,PACIFIC VALLEY CAMPGROUND,STANISLAUS NATIONAL FOREST,,HATHAWAY PINES,CA,95233,,50,1,
0202506,CAPLES LAKE RESORT,,PO BOX 8,KIRKWOOD,CA,95646,,25,10,
0202508,LAKE ALPINE IMPROVEMENT ASSN 2/BEE GULCH,LAKE ALPINE IMPROVEMENT ASSN 2,1149 HOLLYHEAD LANE,CUPERTINO,CA,95014,,25,12,
0202509,LAKE ALPINE IMP. ASSOC.,LAKE ALPINE IMPROVEMENT ASSN. 1,13975 RANCHO VERDE,RENO,NV,89511,,25,26,
0202512,SORENSON S RESORT,,14255 HWY 88,HOPE VALLEY,CA,96120,,25,28,
0202513,SHAY CREEK SUMMER HOME TRACT,HOMEOWNERS ASSOC.,PO BOX 149,MARKLEEVILLE,CA,96120,,32,32,
0202515,CARSON RIVER RESORT,,12399 HIGHWAY 89,MARKLEEVILLE,CA,96120,0,30,28,
0202516,SORENSON S HOA,SORENSEN S SUBDIVISION HOA,326 CREST AVE.,WALNUT CREEK,CA,94595,,25,15,
0202517,LAKE ALPINE REC. AREA,USFS-STANISLAUS NF,19777 GREENLEY RD.,SONORA,CA,95370,,50,45,
0202519,TURTLE ROCK COUNTY PARK,ALPINE COUNTY,50 DIAMOND VALLEY ROAD,MARKLEEVILLE,CA,96120,,25,15,
0202520,HOPE VALLEY RESORT,,114655 HWY 88,HOPE VALLEY,CA,96120,,25,20,
0202521,WOODFORD S INN,,P O BOX 420,MARKLEEVILLE,CA,96120,,25,1,
0202522,SIERRA PINES MOBILE HOME PARK,,PO BOX 1708,GARDNERVILLE,NV,89410,,70,31,
0202523,BLOOMFIELD CG #1,,19777 GREENLEY RD.,SONORA,CA,95370,,25,1,
0202524,HIGHLAND LKS #1,,119777 GREENLEY RD.,SONORA,CA,95370,,25,1,
0202525,HIGHLAND LAKES #2,WOODFORDS MAINTENANCE,USFS-STANISLAUSE NF,SONORA,CA,95370,,26,1,
0202529,HOPE VALLEY CG,USFS-TOIYABE NF,1536 S CARSON ST.,CARSON CITY,NV,89701,,25,7,
0202530,SILVER CREEK CG,USFS-TOIYABE NF,1536 S CARSON ST.,CARSON CITY,NV,89701,,25,15,
0202531,SNOWSHOE SPRINGS CG,USFS-TOIYABE NF,1536 S. CARSON ST.,CARSON CITY,NV,89701,,25,5,
0202532,CRYSTAL SPRINGS CG,USFS-TOIYABE NF,1536 S. CARSON ST.,CARSON CITY,NV,89701,,25,7,
0202542,WOODS LAKE REC. AREA,USFS-EL DORADO NF,100 FORNI RD.,PLACERVILLE,CA,95667,,25,25,
0202543,INDIAN CREEK RES. CG (BLM),BLM HOT SPRINGS ROAD,1535 HOT SPRINGS RD.,CARSON CITY,NV,89706,,30,26,
0202546,CAPLES LAKE CG,USFS-EL DORADO NF,100 FORNI RD.,PLACERVILLE,CA,95667,,40,35,
0202547,CAMP LIAHONA,CAMP LIAHONA,PO BOX 1747,TWAIN HARTE,CA,95383,,25,8,
0202548,CAMP PEACEFUL PINES,CAMP PEACEFUL PINES,#3 CLARKS FORK RD,DARDANELLE,CA,95314,,25,13,
0202549,BEAR VALLEY SKI COMPANY,MTREBALODGE,PO BOX 5038,BEAR VALLEY,CA,95223,,25,2,
0202550,CO. OF ALPINE SOCIAL SERVICES BLDG.,,75 DIAMOND VALLEY RD.,MARKLEEVILLE,CA,96120,,25,1,
0202551,ALPINE CO SENIOR CITIZEN CTR,ALPINE CO SENIOR CITIZEN CTR,PO BOX                    3,MARKLEEVILLE,CA,96120,,25,4,
0202552,BLUE LAKES C.G. DAM & MID,PG&E,5555 FLORIN-PERKINS RD.,SACRAMENTO,CA,95826,,25,5,
0202553,BLUE LAKE MIDDLE HAND PUMP,PG&E,650 O STREET,FRESNO,CA,93760,,105,1,
0202554,BLUE LAKES C.G. - LOWER,PG&E,5555 FLORIN-PERKINS RD.,SACRAMENTO,CA,95826,,25,1,
0202555,BLUE LAKE UPPER BLUE,PG&E,650 O STREET,FRESNO,CA,93760,,672,4,
0202556,BLUE LAKES C.G. - UPPER,PG&E,5555 FLORIN-PERKINS RD.,SACRAMENTO,CA,95826,,25,5,
0202557,BLUE LAKES C.G. HAND PUMP,,5555 FLORIN-PERKINS RD.,SACRAMENTO,CA,95826,,25,1,
0202562,SAND FLAT # 1,USFS-STANISLAUS NF,#1 PINECREST LAKE RD,PINECREST,CA,95364,,25,6,
0202563,SAND FLAT # 2,USFS-STANISLAUG NF,#1 PINECREST LAKE RD.,PINECREST,CA,95364,,25,6,
0202564,SAND FLAT # 3,USFS-STANISLAUS NF,#1 PINECREST LAKE RD.,PINECREST,CA,95364,,25,6,
0202565,SAND FLAT # 4,USFS-STANISLAUS NF,#1 PINECREST LAKE RD.,PINECREST,CA,95364,,25,6,
0202566,SAND FLAT # 5,SAND FLAT C G  5,#1 PINECREST LAKE RD.,PINECREST,CA,95364,,25,6,
0202567,SAND FLAT # 6,SAND FLAT C G  6,#1 PINECREST LAKE RD.,PINECREST,CA,95364,,25,6,
0202568,PINE MARTIN C G,PINE MARTIN C G,_  BOX 500             HWY,HATHAWAY PINES,CA,95222,,500,6,
0202570,KIRKWOOD OUTBACK GRILL,KIRKWOOD MOUNTAIN RESORT,,KIRKWOOD,CA,95646,,500,1,
0202599,EARLY LEARNING CENTER,,100 FOOTHILL BLVD.,MARKLEEVILLE,CA,96120,,60,3,
0205425,ALPINE CO PUBLIC WORKS,ALPINE CO PUBLIC WORKS,50 DIAMOND VALLEY      RD,MARKLEEVILLE,CA,96120,,25,10,
0210001,LAKE ALPINE WATER COMPANY,,P.O. Box 406,ARNOLD,CA,95223,,2650,490,
0210002,KIRKWOOD MEADOWS PUBILC UTILIT,,33540 Loop Road,KIRKWOOD,CA,95646,,101,886,
0210003,CALTRANS-CAPLES LAKE MAINTENANCE STATION,CALTRANS-CAPLES,20 Schnider Camp Rd.,KIRKWOOD,CA,95646,,33,3,Caltrans-Caples Lake Maintenance Station
0210300,CA STATE PARKS - GROVER HOT SPRINGS,CA STATE PARKS,3415 Hot Springs Road,MARKLEEVILLE,CA,96120,E,1000,11,CA State parks - Grover hot Springs
0290901,Bear Valley Water District - RECYCLE,,PO BOX 5027,BEAR VALLEY,CA,95223,,0,0,TIA WHITE
0300002,Amador Water Agency-Lake Camanche WWTP-C,Amador Water Agency--CSA #3,2710 Curran Rd,Ione,CA,95640,,100,25,
0300004,Camp Silverado,Camp Silverado,31510 Kit Carson Rd,Pioneer,CA,95666,,999,1,
0300006,Camp Ritchie,Camp Ritchie,40900 Highway 88,Pioneer,CA,95666,,200,4,
0300007,Stockton Silver Lake Family Camp,Stockton Municipal Family Camp,29500 Plasse Rd,Silver Lake,CA,95666,,100,18,
0300008,PEDDLER HILL,PEDDLER HILL,1120 N STREET,SACRAMENTO,CA,95814,,30,5,
0300010,Drytown County Water District,Drytown County Water District,36 New Chicago Rd,Drytown,CA,95699,,136,62,
0300011,Melody Oaks Trailer Park,Melody Oaks Trailer Park,11906 Highway 88,Jackson,CA,95642,,40,19,
0300012,Foothill Victory Church,Foothill Victory Church,15104 Ousby Rd,Jackson,CA,95642,,12,1,
0300013,Sutter Ridge North Mutual,Sutter Ridge North Mutual,Running Gold,Sutter Creek,CA,95685,,250,63,
0300016,Volcano Community Service Dist,Volcano Community Service Dist,Clapboard ST,Volcano,CA,95689,,160,80,
0300018,REST STOP RAILROAD CROSSING,REST STOP RAILROAD CROSSING,POB 696,IONE,CA,95640,,100,8,
0300019,Fiddletown Community Service,Fiddletown Community Service,Fiddletown Rd,Fiddletown,CA,95629,,100,65,
0300021,Allan Road Homeowners,ALLAN ROAD PROPERTY OWNERS,Allan Road,Volcano,CA,95689,,24,12,
0300022,Camp Winton,Camp Winton,40800 Highway 88,Pioneer,CA,95666,,200,19,
0300023,Ridgewood Acres C.S.D.,Ridgewood Acres C.S.D.,12941 Ridgeview Dr,Sutter Creek,CA,95685,,200,29,
0300024,Tabeau Mobile Home Park,Tabeau Mobile Home Park,20521 Highway 88,Pine Grove,CA,95665,,25,22,
0300025,Ham s Station,Ham s Station,34950 Highway 88,Pioneer,CA,95666,,25,5,
0300026,MILLIGAN SCHOOL,MILLIGAN SCHOOL,_  CLINTON             RD,JACKSON,CA,95642,,25,1,
0300028,Amador Harvest Inn,Amador Harvest Inn,12455 Steiner Rd,Plymouth,CA,95669,,83,4,
0300032,Silver Lake Campground,Silver Lake Campground,Highway 88,Pioneer,CA,95666,,500,23,
0300033,Bear River Camp--South Shore,Bear River Camp--South Shore,Bear River Rd,Pioneer,CA,95666,,200,12,
0300034,Bear River Group Campground,Bear River Group Campground,Bear River RD,Pioneer,CA,95666,,125,23,
0300035,LUMBERYARD RANGER STATION,LUMBERYARD RANGER STATION,_  BOX                      13,JACKSON,CA,95642,,80,8,
0300036,Bear River Lake Resort,Bear River Lake Resort,40800 Highway 88,Pioneer,CA,95666,,568,142,
0300037,LAKE AMADOR RECREATION AREA,LAKE AMADOR REC,7500 Lake Amador Dr,IONE,CA,95640,,2000,190,
